symbol,initial_price
MOBUSDT,0.3000
DREPUSDT,0.2800
APEUSDT,1.880
ALPACAUSDT,0.2177
1INCHUSDT,0.5200
AUDIOUSDT,0.2500
RAREUSDT,0.1138
HIGHUSDT,1.50
DEGOUSDT,2.3900
ATOMUSDT,8.17
KLAYUSDT,0.2270
GTCUSDT,1.4400
PDAUSDT,0.0910
GLMRUSDT,0.3245
FIDAUSDT,0.3100
HOOKUSDT,0.8530
HIVEUSDT,0.3030
ALGOUSDT,0.1725
ICXUSDT,0.2280
ARBUSDT,0.9900
SXPUSDT,0.3250
SAGAUSDT,2.4800
EOSUSDT,0.7700
NFPUSDT,0.4600
MANTAUSDT,1.5800
AIUSDT,1.0650
CRVUSDT,0.4000
PYTHUSDT,0.4300
ONTUSDT,0.2600
WUSDT,0.5200
PORTALUSDT,0.6690
NTRNUSDT,0.4800
MBOXUSDT,0.2000
